iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
se,Så undviker du vanliga missarna i deklarationen,"Nu öppnas deklarationsslussen till Skatteverket. I år är det extra viktigt att se över ränteavdrag, skattereduktion för rot- och rutarbeten och bostadsuthyrning.",en,So do you avoid the usual misses in the declaration,"Now the declaration lock is set to the Swedish Tax Agency. It is extra important to see over Rante deductions, tax reduction for root and grid work and housing rental.",2025-03-18 05:02:51
se,Sänkt riktkurs för Assa Abloy – här är dagens rekar,"Bravida och Note hör till bolagen som har fått höjda riktkurser på tisdagen. Assa Abloy, som fick ett sänkt råd av DNB på måndagen, får i dag en sänkt riktkurs från Deutsche Bank.",en,Saint target course for Assa Abloy has is today's recar,"Bravida and Note whore to the companies that have taken benchmark courses on Tuesday. Assa Abloy, who received a saint line of DNB on Mandagen, today gets a saint target course from Deutsche Bank.",2025-03-18 06:18:59
se,Kinesiska BYD krossar Tesla – laddar 40 mil på fem minuter,"Ladda elbilen nästan lika snabbt som det tar att fylla tanken på en bensindrivande bil. Det utlovar nu kinesiska biltillverkaren BYD (Build Your Dreams) med sina nya modeller, som lanseras på marknaden nästa månad.",en,Chinese BYD crushes Tesla charging 40 miles in five minutes,"Charge the electric car almost as quickly as it takes to fill the tank on a gasoline car. It now promises Chinese car manufacturer BYD (Build Your Dreams) with its new models, which are launched in the market Nasta.",2025-03-18 06:48:04
se,TV4-profilens nya look skapar uppståndelse: ”De har varit på mig”,"Slutspelet har börjat.Då har TV4-profilen Lars Lindberg lagt sig till med ny look – och har fått utstå skämtsamma kommentarer från kollegerna.– Det verkar ju som att man gjort ett misstag, säger Lindberg.",en,TV4 Profile's new look creates construction: they have been on me,"The playoffs have borjat.Da has the TV4 profile Lars Lindberg joined with a new look and has made the outrageous shameful comments from colleagues. It seems that you made a mistake, says Lindberg.",2025-03-18 06:45:36
se,Striderna i Gaza återupptas – Israel kräver att gisslan släpps,Natten mot tisdagen återupptog Israel sina attacker mot terrorgruppen Hamas positioner i Gaza. Det är den första attacken sedan vapenvilan trädde i kraft den 19 januari. Enligt Israel har Hamas inte fullföljt kravet att släppa gisslan och även avvisat alla förslag rörande konflikten från USA. Under natten har ett 30-tal explosioner hörts i Gaza efter [...]Inlägget Striderna i Gaza återupptas – Israel kräver att gisslan släpps dök först upp på Samnytt.,en,The battles in Gaza Acertas Israel requires hostage to be relaxed,"The night before Tuesday, Israel ate ate its attacks against the terrorist group Hama's positions in Gaza. It is the first attack since the ceasefire traded in effect on January 19. According to Israel, Hamas has not fully filled the requirement to relax the hostage and even rejected all the proposals for conflict from the United States. During the night, some 30 explosions in Gaza have been in Gaza after [...] The inserted battles in Gaza Ateruppta's Israel requires hostage to be related to Samnytt.",2025-03-18 06:44:53
se,Gymnastikprofilen död – vann sex OS-guld,"Den legendariske gymnasten Akinori Nakayama, 82, har gått bort i sviterna av cancer. Japanen vann under sin karriär tio OS-medaljer och hela sex OS-guld, som bärgades 1968 i Mexico samt 1972 i München. Han gav också namn åt en svingteknik i ringarna, ”The Nakayama”, som används än i dag av elitgymnaster. ”Vi vill uttrycka våra största kondoleanser”, skriver Japans gymnastikförbund. Nakayama fick under sin karriär även tolv VM-medaljer, varav sju guld.",en,Gymnastics profile Dod won six Olympic gold,"The legendary gymnast Akinori Nakayama, 82, has gone away in the suites of cancer. During his Career, Japan won ten Olympic medals and a total of six Olympic golds, which were bargained in 1968 in Mexico and 1972 in Munich. He also named a swinging technique in the rings, The Nakayama, which is used today by elite gymnasts. We want to express be the biggest condolences, writes Japan's gymnastics association. Nakayama received twelve World Cup medals during his carriers, including seven gold.",2025-03-18 06:43:21
se,OS-legendar död – gav namn åt svingteknik,"Den legendariske gymnasten Akinori Nakayama, 82, har gått bort i sviterna av cancer. Japanen vann under sin karriär tio OS-medaljer och hela sex OS-guld, som bärgades 1968 i Mexico samt 1972 i München. Han gav också namn åt en svingteknik i ringarna, ”The Nakayama”, som används än i dag av elitgymnaster. ”Vi vill uttrycka våra största kondoleanser”, skriver Japans gymnastikförbund. Nakayama fick under sin karriär även tolv VM-medaljer, varav sju guld.",en,Olympic legends dod gave name at swinging technology,"The legendary gymnast Akinori Nakayama, 82, has gone away in the suites of cancer. During his Career, Japan won ten Olympic medals and a total of six Olympic golds, which were bargained in 1968 in Mexico and 1972 in Munich. He also named a swinging technique in the rings, The Nakayama, which is used today by elite gymnasts. We want to express be the biggest condolences, writes Japan's gymnastics association. Nakayama received twelve World Cup medals during his carriers, including seven gold.",2025-03-18 06:43:21
se,SSAB bantar koncernledningen,"SSAB bantar koncernledningen från 11 till 9 personer. Syftet är att ”skapa en mindre och mer effektiv grupp”, enligt stålkoncernens vd Johnny Sjöström.",en,SSAB is losing Group management,"SSAB is losing the group management from 11 to 9 people. The purpose is to create a smaller and more effective group, according to the Stalk Group's CEO Johnny Sjostrom.",2025-03-18 06:42:45
se,Polarpriset till Queen,,en,Polar price to Queen,,2025-03-18 06:35:45
se,Polarpriset till Queen,"Queen får årets Polarpris. Ett glatt besked för Brian May, som fick en stroke i höstas. – Jag är återställd till 95 procent, säger gitarristen till TT.",en,Polar price to Queen,"Queen Far Aret's Polar Prize. A happy message for Brian May, who got a stroke in hostas.  I am atherited to 95 percent, the guitarist said to TT.",2025-03-18 06:35:18
