iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
ro,INVERSTIGAȚIE SNOOP. Capturi WhatsApp: omul care a susținut că-l aduce în România pe Elon Musk cerea bani „pentru Călin Georgescu” înainte de turul doi: „Sponsorul ne-a lăsat baltă”,"În toiul respingerii lui Călin Georgescu din cursa prezidențială, Realitatea Plus a lansat ideea că miliardarul american Musk va ajunge în București, pe 4 aprilie, împreună cu Tucker Carlson, comentator politic apropiat de Trump. Organizatorul...",en,Snoop reversal. Captures WhatsApp: The man who claimed to bring Elon Musk to Romania asked for money for Calin Georgescu before the second round: the sponsor left us,"In the middle of the rejection of Calin Georgescu from the presidential race, Realitatea Plus has launched the idea that American Musk billionaire will arrive in Bucharest, on April 4, along with Tucker Carlson, a close political commentator. The organizer ...",2025-03-18 05:03:13
ro,Ce mesaj i-a transmis Conor McGregor lui Donald Trump la Casa Albă,"Luptătorul MMA, Conor McGregor, s-a întâlnit, luni, la Casa Albă, cu preşedintele Donald Trump. Irlandezul s-a dus în Biroul Oval cu partenera sa Dee Devlin şi cei patru copii ai lor, Conor Jack Jr., Croía Mairéad, Rían şi Mack.",en,What message Conor McGregor to Donald Trump sent to Alba House,"The MMA fighter, Conor McGregor, met at the Alba House with President Donald Trump on Monday. The Irishman went to the Oval Office with his partner Dee Devlin and their four children, Conor Jack Jr., Croa Mairad, Rian and Mack.",2025-03-18 06:19:31
ro,Donald Trump spune că „multe elemente” au fost convenite înainte de apelul cu Putin. Discuția lor va avea loc marți,"Preşedintele american Donald Trump a declarat că „multe elemente” ale unui acord de pace în Ucraina au fost convenite cu omologul său rus, Vladimir Putin, înainte de convorbirea lor telefonică mult aşteptată, relatează BBC. Trump...",en,Donald Trump says many elements were agreed before the call with Putin. Their discussion will take place on Tuesday,"US President Donald Trump said many elements of a peace agreement in Ukraine were agreed with his Russian counterpart, Vladimir Putin, before their long -awaited telephone call, BBC reports. Trump ...",2025-03-18 06:46:40
ro,"Cod galben de vânt în Dobrogea, Bărăgan, jumătatea sudică a Moldovei, în Carpaţii de Curbură şi în estul Carpaţilor Meridionali","O atenţionare Cod galben de intensificări ale vântului va intra în vigoare marţi la ora 12:00 şi va fi valabilă până la ora 20:00 în Dobrogea, Bărăgan şi jumătatea sudică a Moldovei, în Carpaţii de Curbură şi în estul Carpaţilor Meridionali. Citește mai departe...",en,"Yellow wind code in Dobrogea, Baragan, southern half of Moldova, in the Carpathians and in the east of the Southern Carpathians","An warning yellow code of intensifications of the wind will enter into force on Tuesday at 12:00 and will be valid until 8:00 pm in Dobrogea, Baragan and the southern half of Moldova, in the Carpathians and in the east of the Southern Carpathians. Read more ...",2025-03-18 06:46:28
ro,Când va apărea inteligenţa artificială care egalează oamenii. Previziunile șefului Google DeepMind,"Inteligenţa artificială capabilă să egaleze sau să depăşească oamenii în orice sarcină este încă departe, dar va deveni realitate în următorii cinci până la zece ani, anticipează CEO-ul Google DeepMind, Demis Hassabis.",en,When artificial intelligence that equals people will appear. The forecasts of Google Deepmind boss,"The artificial intelligence capable of equals or overcoming people in any pregnancy is still far away, but it will become a reality in the next five to ten years, it anticipates Google Deepmind CEO, Demishasabis.",2025-03-18 06:46:01
ro,Simulare Evaluarea Națională 2025 la Matematică. Subiectele și baremele vor fi disponibile online la încheierea probei,"MediafaxAstăzi, 18 martie 2025, are loc cea de-a doua probă a simulării pentru Evaluarea Națională pentru elevii de clasa a VIII-a. Aceștia au la dispoziție două ore pentru a rezolva subiectele primite, iar baremul va fi disponibil online după încheierea probei. Articolul Simulare Evaluarea Națională 2025 la Matematică. Subiectele și baremele vor fi disponibile online la încheierea probei apare prima dată în Mediafax.",en,Simulation National Assessment 2025 in mathematics. Subjects and scales will be available online at the conclusion of the sample,"Mediafaxastazi, March 18, 2025, the second test of the simulation for the national evaluation for the students of the eighth grade takes place. They have two hours available to solve the topics received, and the scale will be available online after the sample is completed. Article Simulation National Assessment 2025 in mathematics. The topics and scales will be available online at the conclusion of the sample first appears in Mediafax.",2025-03-18 06:45:28
ro,"Membrii formației FiRMA revin cu un comunicat în care explică de ce i-au luat apărare lui Călin Georgescu. Muzicienii spun că au primit ameninţări ""de tip fascist""","Membrii formaţiei FiRMA au explicat într-un comunicat de presă, la două săptămâni de când au publicat un mesaj de susţinere al fostului candidat la alegerile prezidenţiale, de ce au ales să se poziționeze ca susținători ai lui Călin Georgescu. Ca urmare a acestei atitudini, mai multe cluburi din Bucureşti şi din ţară au anulat concertele trupei programate la început de martie.",en,"The members of the company The company return with a statement explaining why they took Defense to Calin Georgescu. Musicians say they received ""fascist -type"" threats","The members of the company have explained in a press release, two weeks since they published a message of support of the former candidate in the presidential elections, why they chose to position themselves as Calin Georgescu's supporters. As a result of this attitude, several clubs in Bucharest and in the country canceled the concerts of the band scheduled at the beginning of March.",2025-03-18 06:44:17
ro,"Cristoiu, avertisment înfiorător: România, sub conducerea lui Bolojan, s-a alăturat unei coaliții care ar putea pune Europa pe marginea unui conflict global","Ion Cristoiu lansează un avertisment grav despre implicarea României în planurile Marii Britanii și ale aliaților săi. Potrivit acestuia, sub conducerea lui Ilie Bolojan, România s-a alăturat unei coaliții care ar putea pune Europa pe marginea unui conflict global, întrucât această coaliție plănuiește să trimită trupe engleze și franceze pe linia de contact cu Rusia. Analistul avertizează că o provocare bine pusă la punct ar putea duce la al Treilea Război Mondial.",en,"Cristoiu, infringing warning: Romania, under the leadership of Bolojan, joined a coalition that could put Europe on a global conflict","Ion Cristoiu launches a serious warning about the involvement of Romania in the plans of Great Britain and its allies. According to him, under the leadership of Ilie Bolojan, Romania has joined a coalition that could put Europe on a global conflict, as this coalition plans to send English and French troops on the contact line with Russia. The analyst warns that a well -developed challenge could lead to World War II.",2025-03-18 06:44:04
ro,5 idei despre cum pot fi cucerite femeile. Sfaturi pentru toți bărbații,Care sunt așteptările femeilor din partea bărbaților și cum pot fi cucerite doamnele. Iată câteva sfaturi pentru toți bărbații.,en,5 ideas on how women can be conquered. Tips for all men,What are the expectations of women from men and how the ladies can be conquered. Here are some tips for all men.,2025-03-18 06:43:24
ro,Gigi Becali dezvăluie câte tone de brânză a donat la nunta lui Simion: 'N-a ajuns',"Gigi Becali a dezvăluit că a donat trei tone de brânză la nunta lui George Simion, explicând că inițial a comandat 2 tone, dar a mai trimis o tonă suplimentară.„Trei tone, că n-a ajuns. Am mai comandat o tonă. Citește mai departe...",en,Gigi Becali reveals how many tons of cheese donated to Simion's wedding: 'He didn't arrive',"Gigi Becali revealed that he donated three tons of cheese at George Simion's wedding, explaining that he initially ordered 2 tons, but sent an additional ton. I ordered another ton. Read more ...",2025-03-18 06:43:19
