iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
hr,"Perišić je zabio Arsenalu i srušio Juventus, ali ovo mu je utakmica godine! Zvižduke nekih teško će izbjeći...","Josip Stanišić i Josip Juranović vratili su se nakon ozbiljnih ozljeda koje su ih cijelu jesen držale na tribini ili uz televizor, to je veliki dobitak za Vatrene jer za Francuze će trebati njihove kvalitete u najboljem svjetlu. Izbornik je ""našao"" i dvojicu kojima je premijerno uputio poziv: Franju...",en,"Perisic scored Arsenal and overthrew Juventus, but this is his match of the year! The whistles of some will avoid avoiding ...","Josip Stanisic and Josip Juranovic returned after the serious injuries that kept them in the stand or by the TV all the fall, it is a big gain for the Fire, because for the French they will need their qualities in the best light. The menu ""found"" and two who premiered the call: Francis ...",2025-03-18 05:00:08
hr,Nakon sukoba na granici: Sirija i Libanon dogovorili primirje,"Kasno u nedjelju, sirijsko ministarstvo obrane optužilo je Hezbolah za prelazak na sirijski teritorij te otmicu i ubojstvo trojice pripadnika nove sirijske vojske. Hezbolah je odbacio te optužbe",en,After the conflict at the border: Syria and Lebanon agreed a truce,"Late on Sunday, the Syrian Ministry of Defense accused Hezbollah of moving to Syrian territory and the abduction and murder of three members of the new Syrian army. Hezbollah rejected those accusations",2025-03-18 05:27:00
hr,"Honduras: Avion se srušio u vodu, poginulo sedmero ljudi","Srušio se zrakoplov u blizini karipske obale Hondurasa u ponedjeljak navečer, nekoliko minuta nakon polijetanja s otoka Roatan, pri čemu je poginulo sedam osoba, dok je njih 10 izvučeno iz olupine živo, priopćile su vlasti",en,"Honduras: The plane crashed into the water, the killed seven people","A plane crashed near the Caribbean coast of Honduras on Monday at night, a few minutes after taking off from Roat Island, with seven people killed, while 10 were pulled out of the wreck of life, the authorities said",2025-03-18 05:26:00
hr,"Uspjela je kada su svi sumnjali, a sada se svi pitaju ima li Versacea bez Donatelle","Vijest da Donatella Versace, slavna talijanska modna dizajnerica, napušta poziciju glavne osobe modne kuće Versace nakon gotovo tri desetljeća uzdrmala je modni svijet. Dolaskom Daniela Vitalea na mjesto kreativnog direktora Versace neminovno ulazi u novu eru, a Donatella, koja nije samo naslijedila Versace, već ga je redefinirala, postala je žrtveni jarac za loše poslovne rezultate brenda te joj je ugovorom zabranjeno koristiti i vlastito prezime za bilo koje buduće projekte",en,"She succeeded when everyone doubted, and now everyone wonders if there is a Versace without Donatelle","The news that Donatella Versace, a famous Italian fashion designer, leaves the position of the main person of the fashion house Versace after almost three decades has shook the fashion world. With the arrival of Daniel Vitale, the Versace director inevitably enters the new era, and Donatella, who has not only inherited Versace, has already redefined it, has become a sacrificial goat for the bad business results of the brand and is forbidden by the contract to use her own surname for any future projects",2025-03-18 05:24:12
hr,Klasična bajka postala poprište kulturnog rata: Ovo je pozadina sukoba oko Disneyjeve 'Snjeguljice',"Prije samo pet godina remake prvog Disneyjeva dugometražnog animiranog filma, 'Snjeguljica i sedam patuljaka', i to u vrijednosti od 250 milijuna dolara, činio se kao dobra ideja korporativnim direktorima koji su se trudili pretvoriti klasične crtiće u suvremene igrane verzije. No film, koji se u konačnici zove samo 'Snjeguljica', postao je teška glavobolja za cijeli studio",en,The classic fairy tale has become a cultural war: This is the background of the conflict around Disney's 'Snow White',"Just five years ago, the first Disney's first feature film, 'Snow White and Seven Dwarfs', worth $ 250 million, seemed to be a good idea to corporate directors who tried to turn classic dashes into contemporary feature versions. But the movie, which is only called 'Snow White' in the thread, has become a heavy headache for the entire studio",2025-03-18 05:24:00
hr,"Trump danas objavljuje tisuće povjerljivih dokumenata: ""Bit će jako zanimljivo""",Američki Federalni istražni ured (FBI) priopćio je početkom veljače da je pronašao tisuće novih dokumenata povezanih s jednim od najpoznatijih slučajeva ubojstava oko kojeg su ispletene brojne teroije zavjere.,en,"Trump today publishes thousands of confidential documents: ""It will be very interesting""",The US Federal Investigation Office (FBI) announced at the beginning of February that he had found thousands of new documents related to one of the most famous cases of killings around which numerous conspiracy were woven.,2025-03-18 05:24:00
hr,Avion se srušio u vodu nakon polijetanja u blizini Kariba: Stradao i poznati glazbenik,"Srušio se zrakoplov u blizini karipske obale Hondurasa u ponedjeljak navečer, nekoliko minuta nakon polijetanja s otoka Roatan, pri čemu je poginulo sedam osoba, dok je njih 10 izvučeno iz olupine živo, priopćile su vlasti",en,The plane crashed into the water after taking off near the Caribbean: killed and famous musician,"A plane crashed near the Caribbean coast of Honduras on Monday at night, a few minutes after taking off from Roat Island, with seven people killed, while 10 were pulled out of the wreck of life, the authorities said",2025-03-18 05:23:00
hr,"Filmski razvoj događaja. Došlo je do napada u postaji na Antarktici usred ničega! ‘Hitno je, molimo vas, spasite nas...‘","Grupa znanstvenika koja je trebala raditi zajedno mjesecima na udaljenoj antarktičkoj istraživačkoj postaji potresena je nakon što je jedan član tima optužen za napad. U južnoafričkoj bazi, koja se nalazi otprilike 170 km (oko 105 milja) od ruba ledene ploče i teško je dostupna, obično boravi oko 10...",en,"Film development of events. It came to an attack at the Antarctica station in the middle of nothing! It is urgent, please, save us ...","A group of scientists who had to work together for months at the remote Antarctic research station was shaken after a member of the team was charged with an attack. In the South Africa base, which is located approximately 170 km (about 105 miles) from the edge of the ice board and is hardly available, usually stays around 10 ...",2025-03-18 05:20:06
hr,UFC-ov prvak snimio video da pokaže što sve pojede u jednom danu,OČEKUJE se njegova borba protiv Jona Jonesa.,en,UFC champion recorded a video to show what he eats in one day,His fight against Jon Jones is expected.,2025-03-18 05:20:00
hr,"VIDEO/FOTO Ništa od primirja: Izrael silovito udario na Palestince, stotine mrtvih, među njima ima mnogo djece",Izraelski napadi bili su znatno širih razmjera od uobičajenih serija napada bespilotnim letjelicama.,en,"VIDEO/PHOTO NISTS OF PRONG: Israel hit Palestinians violently, hundreds of dead, among them have many children",The Israeli attacks were significantly widespread by the usual series of attacks by unmanned spacecraft.,2025-03-18 05:20:00
